name,hazardous,min_diameter_km,max_diameter_km,velocity_kph,miss_distance_km,orbiting_body
18106 Blume (2000 NX3),False,0.7388477866,1.6521138758,17993.1510932702,33074858.285403937,Earth
18109 (2000 NG11),False,0.9695159909,2.167903661,7747.6801457175,28809322.965863675,Earth
18172 (2000 QL7),False,1.9344387205,4.3255364773,20133.1827212307,72586693.65130982,Earth
18736 (1998 NU),False,1.6848256925,3.7673847787,4402.8112091483,74422215.35491858,Earth
18882 (1999 YN4),False,1.5651464359,3.4997738255,0.0,0.0,UNKNOWN
19356 (1997 GH3),False,1.0533070151,2.3552660868,29134.6217564034,21794151.71850894,Earth
19764 (2000 NF5),False,1.5942446807,3.5648394788,3035.1965895872,296722733.4821288,Juptr
20086 (1994 LW),False,1.2261821132,2.7418265579,27372.6823455675,158928761.22293857,Juptr
20236 (1998 BZ7),True,0.7665755735,1.7141150923,41031.8721519818,10181490.51492071,Earth
20255 (1998 FX2),False,0.5426939457,1.2135005535,58421.0456657816,61214850.62587126,Earth
20425 (1998 VD35),True,0.2101623793,0.4699373665,51970.594687807,11271381.323829396,Earth
20429 (1998 YN1),False,0.7560577624,1.6905965516,36174.6183290087,23764995.3020217,Earth
20460 Robwhiteley (1999 LO28),False,2.1905591097,4.898239078,67006.7232809926,12646806.131496286,Mars
20790 (2000 SE45),False,1.2489785407,2.7928009194,36751.654428647,71535914.53232221,Earth
20826 (2000 UV13),False,4.5139316282,10.0934579665,31444.3230638176,186440801.73877114,Juptr
21088 Chelyabinsk (1992 BL2),False,3.5690692667,7.9806814968,66474.2800150823,14756412.719917703,Mars
21277 (1996 TO5),False,1.5436718218,3.4517551284,55834.2412572308,5000363.677248716,Mars
21374 (1997 WS22),False,0.8640820365,1.9321461716,33456.1542717704,13420538.731759496,Mars
22099 (2000 EX106),False,0.6405528629,1.4323197447,34602.846132528,60874853.14393343,Earth
22753 (1998 WT),True,0.77366861,1.729975604,63892.5680456161,11361539.621740166,Venus
22771 (1999 CU3),False,1.0778416872,2.4101272816,63335.8215929156,13303041.662462818,Earth
23183 (2000 OY21),False,1.6313794097,3.6478752572,97855.7249036747,68418842.95835917,Earth
23187 (2000 PN9),True,1.6313794097,3.6478752572,105322.615626956,21810885.332332894,Earth
23548 (1994 EF2),False,0.930154254,2.0798881414,78048.3241738098,73587789.028823,Earth
23606 (1996 AS1),False,0.5578982211,1.2474983468,45578.0910379712,54342076.98335514,Earth
23714 (1998 EC3),False,1.133848361,2.5353620113,36057.4488360338,27986565.498024896,Earth
24443 (2000 OG),False,1.3821493588,3.0905799213,86533.6616865785,10419707.978979807,Mars
24445 (2000 PM8),False,3.0517923259,6.824015094,65867.750904695,27118250.36252396,Earth
24475 (2000 VN2),False,1.3949382293,3.1191767052,30952.9864002544,26833235.94708784,Earth
24761 Ahau (1993 BW2),False,0.8923905787,1.9954459964,41062.6074397187,50411396.58433338,Earth
25143 Itokawa (1998 SF36),True,0.3737274319,0.8356799428,18978.3650928352,5987213.148797547,Earth
25330 (1999 KV4),False,1.1927652464,2.6671041722,27298.3342580324,37113083.336546585,Earth
25916 (2001 CP44),False,4.6833323314,10.4722494541,15214.7554513012,276193888.58148545,Juptr
26166 (1995 QN3),False,1.1496217629,2.5706324102,0.0,0.0,UNKNOWN
26310 (1998 TX6),False,0.3703010782,0.828018383,43363.1278873631,54513092.451287724,Earth
26379 (1999 HZ1),False,0.6089126221,1.3615700154,50513.5340231101,16642486.027124122,Venus
26663 (2000 XK47),True,0.6173834405,1.3805113411,88351.3118561663,59407252.59140053,Earth
26760 (2001 KP41),False,2.1113244479,4.7210649881,22735.7052771675,251936309.73999226,Juptr
26817 (1987 QB),False,0.3361669212,0.7516920875,28871.6195926171,279960546.15085226,Juptr
27002 (1998 DV9),True,0.5788352575,1.2943149835,27315.7988971788,2265439.652763656,Earth
27031 (1998 RO4),False,0.7023522477,1.57050737,26872.4295366837,10855105.757951936,Mars
27346 (2000 DN8),False,1.7723723926,3.9631451512,72318.8385761148,67907833.53899848,Earth
29075 (1950 DA),True,0.930154254,2.0798881414,56518.8781434862,12513833.282226404,Earth
30825 (1990 TG1),False,3.0377706139,6.7926615927,27192.8720183048,231791138.90045217,Juptr
30997 (1995 UO5),False,0.9344476509,2.0894884689,0.0,0.0,UNKNOWN
31210 (1998 BX7),False,1.3949382293,3.1191767052,7551.1528621915,240426215.3941996,Juptr
31221 (1998 BP26),False,0.9474471126,2.118556149,0.0,0.0,UNKNOWN
31345 (1998 PG),False,0.7953439404,1.7784431163,0.0,0.0,UNKNOWN
31346 (1998 PB1),False,0.9830033019,2.1980622051,22005.6531182722,26580545.188301984,Earth
31662 (1999 HP11),False,0.3285148278,0.7345814866,95401.3675040572,50886203.229395345,Earth
31669 (1999 JT6),True,1.6089960451,3.5978245324,44770.8747003559,26204068.490161452,Earth
32906 (1994 RH),False,1.6464743776,3.6816286314,20795.8892226427,68783409.39216007,Earth
33342 (1998 WT24),True,0.6615382752,1.4792445531,91401.5390412103,9529364.8712769,Merc
34613 (2000 UR13),False,1.6089960451,3.5978245324,32574.4229956236,4404233.129697174,Mars
35107 (1991 VH),True,1.1131532961,2.4890864394,32471.6798877984,15268898.460818276,Earth
35396 (1997 XF11),True,1.0533070151,2.3552660868,33023.409954212,14803973.323541714,Venus
35432 (1998 BG9),False,0.3520099801,0.7871182442,41157.0281212254,69157190.26188427,Earth
35670 (1998 SU27),False,0.3240074354,0.7245026508,40124.7642940276,13939008.537057938,Earth
36017 (1999 ND43),False,0.3669061375,0.8204270649,26867.8226674644,20035522.676809326,Earth
36183 (1999 TX16),False,1.4606796427,3.2661789745,77049.9206260168,20535816.340902768,Earth
36236 (1999 VV),False,1.7161489408,3.8374256911,0.0,0.0,UNKNOWN
36284 (2000 DM8),False,2.6094860325,5.8349881551,121477.010616148,2649242.308195957,Venus
37336 (2001 RM),False,1.85590173,4.1499224279,74349.6918019873,51471475.03603549,Earth
37638 (1993 VB),True,0.3703010782,0.828018383,34603.697237761,12516468.343987945,Earth
37655 Illapa (1994 PM),True,0.7154099509,1.599705282,121443.082131479,15910810.594123786,Venus
38071 (1999 GU3),True,0.3240074354,0.7245026508,12774.0485366792,272449444.5006392,Juptr
38086 Beowulf (1999 JB),False,0.900647767,2.0139096308,76560.1102278529,61449393.20329403,Earth
38091 (1999 JT3),False,1.4606796427,3.2661789745,0.0,0.0,UNKNOWN
38239 (1999 OR3),False,0.573528464,1.2824486324,12393.046543144,268927065.41287374,Juptr
39565 (1992 SL),False,0.5402004935,1.207925025,22272.2157165434,23243075.41080617,Earth
39572 (1993 DQ1),True,1.3018321019,2.9109850751,30042.7715280733,12551178.490578955,Earth
39796 (1997 TD),False,1.9433676839,4.3455022465,0.0,0.0,UNKNOWN
40263 (1999 FQ5),False,0.7354530894,1.644523102,51730.2885916469,68407871.01673955,Earth
40267 (1999 GJ4),False,2.0727884338,4.6348958409,122816.6037065743,29728121.054499708,Earth
40329 (1999 ML),False,0.7630534787,1.7062394488,9925.8980597114,58418670.52220072,Earth
41429 (2000 GE2),True,0.1961349444,0.4385710684,51524.4368126966,12728919.699229296,Venus
41440 (2000 HZ23),False,0.2809020939,0.6281161771,25695.1900701217,69148730.90625001,Earth
42286 (2001 TN41),False,1.2547435637,2.8056919027,60207.9901225988,70989834.12134828,Earth
48603 (1995 BC2),False,0.7253622947,1.6219593992,46909.7807890381,55861580.89087922,Earth
52340 (1992 SY),False,0.6376097899,1.4257388333,32843.5239377479,15306192.132704612,Earth
52381 (1993 HA),False,0.2573682542,0.5754929116,23750.9056581633,70783425.08391538,Earth
52387 Huitzilopochtli (1993 OM7),False,0.742258153,1.659739687,43911.741750305,71777390.43246713,Earth
52689 (1998 FF2),False,0.3967847541,0.8872376825,24226.0696016772,13026588.059936384,Mars
52750 (1998 KK17),False,1.2318419127,2.7544822542,56009.1762625486,45153199.18296523,Earth
52760 (1998 ML14),True,0.8366715019,1.8708543531,36742.6282874591,13958599.126123788,Earth
52761 (1998 MN14),False,0.6800721287,1.5206875095,36278.3795406048,29095801.97436667,Earth
52762 (1998 MT24),False,2.9010484143,6.4869414603,73088.1142995661,36995267.92298255,Earth
52768 (1998 OR2),True,1.6617090174,3.7156943217,13979.6363885129,184008866.7625963,Juptr
53110 (1999 AR7),False,1.1982708007,2.6794149658,75523.5030015817,65581372.58594651,Earth
53319 (1999 JM8),True,2.2519304668,5.0354696043,29334.6272512337,274440099.13559884,Juptr
53409 (1999 LU7),False,0.477040198,1.0666943108,45968.7941452346,16076193.148738755,Venus
53426 (1999 SL5),True,0.9695159909,2.167903661,74905.1458091546,73978660.34817046,Earth
53429 (1999 TF5),True,0.4411182,0.9863702813,89235.6752490876,17139619.107098497,Earth
53430 (1999 TY16),False,1.2375278366,2.7671963667,110311.5125060903,62781821.443873376,Earth
53435 Leonard (1999 VM40),False,3.0099201655,6.7303860969,11525.1128896227,298796183.05823994,Juptr
53550 (2000 BF19),True,0.4097839804,0.9163048363,57939.4013160132,27835022.212444052,Earth
53789 (2000 ED104),True,0.900647767,2.0139096308,88029.7166751682,40406190.6735224,Earth
54071 (2000 GQ146),False,0.8680704579,1.9410645532,45199.085068093,70410161.49370608,Earth
54401 (2000 LM),False,0.9518203298,2.1283349598,34486.7031347504,54578132.75819274,Earth
54509 YORP (2000 PH5),False,0.0780827277,0.1745982871,53821.7455406947,39081284.991755575,Earth
54660 (2000 UJ1),False,0.6895328745,1.54184238,93241.3659211825,27235896.77537426,Earth
54686 (2001 DU8),False,1.2605351968,2.8186423881,57536.9963338126,8718322.128401866,Mars
54690 (2001 EB),False,0.8405334021,1.8794898244,65186.2349319949,62766280.93290182,Earth
54789 (2001 MZ7),False,2.5618575448,5.7284876188,0.0,0.0,UNKNOWN
55408 (2001 TC2),False,0.4472547654,1.0000920588,50208.8823160261,9858874.33078499,Mars
55532 (2001 WG2),False,1.5796285576,3.532156834,108922.4484113164,52685510.81918686,Earth
65674 (1988 SM),False,0.5895966084,1.3183780956,21421.6707029118,28765999.198314868,Earth
65679 (1989 UQ),True,0.3180936332,0.7112789871,34303.6636353764,10585367.349493422,Venus
65690 (1991 DG),True,0.4097839804,0.9163048363,28119.0618065309,25788000.685805846,Earth
65706 (1992 NA),False,1.2898968334,2.8842970035,31012.2949945555,10263506.021249935,Earth
65717 (1993 BX3),True,0.1780553292,0.3981438198,21422.5363557759,14796097.833434286,Earth
65733 (1993 PC),False,0.5553349116,1.2417666126,42417.9395712637,16953914.758948695,Earth
65803 Didymos (1996 GT),True,0.634680239,1.4191881584,32322.1716441879,7802131.096806111,Mars
65909 (1998 FH12),True,0.3669061375,0.8204270649,76294.9120765594,21674502.444495723,Earth
65996 (1998 MX5),False,0.5327886649,1.1913516723,21835.7528595754,214521447.46726567,Juptr
66008 (1998 QH2),False,1.7240703244,3.8551384433,122993.6283642229,11652389.790245837,Earth
66063 (1998 RO1),False,0.6230960191,1.3932850552,69168.0049425648,60336449.28781941,Earth
66146 (1998 TU3),False,3.5690692667,7.9806814968,88431.3838277647,14347367.398614787,Merc
66251 (1999 GJ2),False,1.0630531449,2.3770590956,0.0,0.0,UNKNOWN
66253 (1999 GT3),False,0.5553349116,1.2417666126,131312.1150441526,51661380.72068595,Earth
66272 (1999 JW6),False,0.9474471126,2.118556149,74498.7540020854,7630653.521053095,Mars
66391 Moshup (1999 KW4),True,1.2489785407,2.7928009194,94436.8746541344,61255494.07830285,Earth
66400 (1999 LT7),False,0.3669061375,0.8204270649,56777.3560398809,20974471.673333295,Earth
66407 (1999 LQ28),False,0.453476699,1.0140047252,41117.2364790252,24646218.729092177,Earth
66959 (1999 XO35),False,1.0878148336,2.4324279148,53924.4029597713,74115986.85449223,Earth
67367 (2000 LY27),True,1.0198938585,2.2805519975,25127.913332662,69434088.48424013,Earth
67381 (2000 OL8),True,0.2914439045,0.6516883822,46124.7267294317,47308824.45480477,Earth
67399 (2000 PJ6),False,0.5527833794,1.2360612132,42251.2259160182,7761285.717169596,Mars
68031 (2000 YK29),False,0.6288614556,1.4061769631,0.0,0.0,UNKNOWN
68063 (2000 YJ66),False,2.0537849952,4.5924028604,6162.4111174577,69358954.13585581,Earth
68216 (2001 CV26),True,1.2898968334,2.8842970035,48504.744204737,11641190.250426795,Earth
68267 (2001 EA16),False,1.0484675089,2.3444446221,87012.146048355,11176669.865147306,Earth
68278 (2001 FC7),False,0.5352479056,1.1968507018,2827.5074802415,9932744.741725473,Mars
68346 (2001 KZ66),True,1.0978802603,2.4549348932,48279.387206155,5545766.140595377,Earth
68347 (2001 KB67),True,0.2757750529,0.6166517648,57252.4768421698,59917633.250913605,Earth
68348 (2001 LO7),False,3.7372743191,8.3567994282,137580.3905856138,10239684.176109431,Merc
68350 (2001 MK3),False,1.5723708236,3.5159280475,0.0,0.0,UNKNOWN
68359 (2001 OZ13),False,0.6435095206,1.4389310323,0.0,0.0,UNKNOWN
68372 (2001 PM9),True,0.4310771239,0.9639177525,48882.3899995498,24197574.776801325,Earth
68548 (2001 XR31),True,1.2958507267,2.8976103136,56649.9307214696,13312109.492473507,Earth
68950 (2002 QF15),True,1.4013769717,3.1335741707,47855.3401095566,28346813.071238477,Earth
69230 Hermes (1937 UB),True,0.77366861,1.729975604,73931.1002519771,14783341.533300662,Venus
85182 (1991 AQ),True,0.99667824,2.2286402963,60095.7896735405,7664223.836593214,Merc
85184 (1991 JG1),False,0.5527833794,1.2360612132,64656.8572803498,26673193.587638263,Earth
85236 (1993 KH),True,0.4726666672,1.0569147985,54919.2410072831,33569316.76489973,Earth
85275 (1994 LY),False,1.3260349677,2.9651043282,39463.4694977428,22679137.93592417,Earth
85490 (1997 SE5),False,2.9144390453,6.5168838217,21804.9042538666,85423657.82410346,Juptr
85585 Mjolnir (1998 FG2),True,0.1248978541,0.2792800919,66864.509190625,47558977.10620864,Earth
85628 (1998 KV2),False,0.930154254,2.0798881414,36343.834986344,28589046.8641124,Earth
85640 (1998 OX4),True,0.1572370824,0.3515928047,22897.8770128585,17235782.712304678,Venus
85709 (1998 SG36),False,1.7480545317,3.9087687612,0.0,0.0,UNKNOWN
85713 (1998 SS49),True,1.8644681832,4.1690775995,64372.1398405063,9872429.528423771,Earth
85770 (1998 UP1),False,0.1907897226,0.4266187892,100174.5533794615,66059298.107241385,Earth
85774 (1998 UT18),True,0.4041615334,0.9037326626,29689.4568429523,32572093.249538306,Earth
85804 (1998 WQ5),False,2.2623249055,5.058712276,49212.3853520492,70533121.02450728,Earth
85818 (1998 XM4),False,2.1905591097,4.898239078,118063.0778440716,14838920.672515394,Earth
85839 (1998 YO4),False,1.2663535629,2.8316526503,0.0,0.0,UNKNOWN
85867 (1999 BY9),False,0.5815070396,1.30028927,2690.0399624875,52535327.82703792,Earth
85938 (1999 DJ4),True,0.477040198,1.0666943108,84101.3961118578,72830834.18871517,Earth
85953 (1999 FK21),False,0.6317641482,1.4126675811,74059.5991133372,19389318.356216706,Earth
85989 (1999 JD6),True,1.0246014747,2.2910785472,73217.6751482856,7772480.619454667,Earth
85990 (1999 JV6),True,0.2347226375,0.5248557734,24857.6904112802,5090804.520656555,Venus
86039 (1999 NC43),True,1.7004151927,3.8022439609,38117.2449236195,9302980.449136931,Venus
86067 (1999 RM28),False,1.3631855586,3.0481755751,0.0,0.0,UNKNOWN
86324 (1999 WA2),False,1.813656249,4.0554586606,62255.3198198983,11459548.785948962,Mars
86326 (1999 WK13),False,0.900647767,2.0139096308,0.0,0.0,UNKNOWN
86450 (2000 CK33),False,0.5451989071,1.2191018176,60504.7257967774,22468547.338829022,Earth
86666 (2000 FL10),False,1.1080388213,2.4776501261,58855.862458688,24662881.254008304,Earth
86667 (2000 FO10),False,0.8251919385,1.845185269,52215.1200138002,54867303.63076851,Earth
86819 (2000 GK137),True,0.8483107619,1.8968805296,34715.6438141379,4526817.663517664,Earth
86829 (2000 GR146),False,1.8220277059,4.0741778073,50401.6653459406,16223831.376400476,Venus
86878 (2000 HD24),False,0.777239702,1.7379608086,78100.7523159071,17624858.258820657,Venus
87024 (2000 JS66),False,0.477040198,1.0666943108,33071.7286279629,14401873.921101619,Earth
87025 (2000 JT66),False,0.6259720997,1.3997161669,74068.3586352197,56832435.56760467,Earth
87309 (2000 QP),False,0.8027031673,1.7948988478,0.0,0.0,UNKNOWN
87311 (2000 QJ1),False,1.332155667,2.978790628,37374.6109116294,13174570.168221874,Venus
87684 (2000 SY2),True,1.7004151927,3.8022439609,135516.7953375512,5911542.357411187,Merc
88188 (2000 XH44),False,1.6164228334,3.6144313359,22841.4793168634,36400619.77064441,Earth
88213 (2001 AF2),False,0.3377185972,0.7551617405,109760.2379824212,58264250.58925807,Earth
88254 (2001 FM129),True,0.742258153,1.659739687,74321.5944764704,74168761.61707616,Earth
88263 (2001 KQ1),False,1.9255507819,4.3056624424,77520.1826057296,9149725.135612236,Mars
88264 (2001 KN20),False,1.0533070151,2.3552660868,30265.8946106012,29810303.467172492,Earth
88710 (2001 SL9),False,0.8064082768,1.8031837245,53836.3318803692,18719703.135832477,Venus
88959 (2001 TZ44),False,0.8601119401,1.9232687664,128922.4983433039,37058416.28058546,Earth
89136 (2001 US16),True,0.233644185,0.5224442801,50702.1257816867,49892993.4548056,Earth
89355 (2001 VS78),False,1.8473746362,4.1308552663,43429.0116318048,10552090.918968918,Mars
89830 (2002 CE),True,2.6457875993,5.9161609261,93652.5168648868,27995694.27420782,Earth
89958 (2002 LY45),True,0.9606274149,2.1480282008,145064.4450005462,13394640.902017215,Venus
89959 (2002 NT7),True,1.2898968334,2.8842970035,121322.7760043272,60812529.19027252,Earth
90075 (2002 VU94),True,2.2312846442,4.9893041415,12793.9065854755,276215778.8039687,Juptr
90147 (2002 YK14),False,0.5788352575,1.2943149835,50379.4449766152,73788882.9736131,Earth
90367 (2003 LC5),False,0.6927156136,1.5489592011,59400.1912697118,24634321.10577257,Earth
90373 (2003 SZ219),False,0.4597851883,1.028110936,23374.8302996628,12328894.366538243,Mars
90403 (2003 YE45),True,0.7388477866,1.6521138758,63738.6939361872,39073880.70501907,Earth
90416 (2003 YK118),True,0.4493191996,1.004708274,42372.9951253268,19889162.97238377,Earth
96189 Pygmalion (1991 NT3),False,1.3444819516,3.0063530383,39805.5951224474,4777887.095548249,Mars
96315 (1997 AP10),False,1.0340819954,2.312277636,63206.7661070442,23892912.86526961,Earth
96536 (1998 SO10),False,2.160503512,4.8310327184,45636.917089936,246242343.0632614,Juptr
96590 (1998 XB),False,1.474195145,3.2964005564,41338.5812911901,15731167.757189153,Venus
96631 (1999 FP59),False,0.6173834405,1.3805113411,16007.2020503383,6484159.246394212,Mars
96744 (1999 OW3),False,2.9414060178,6.5771838053,153006.6092831204,13794614.92263886,Merc
97725 (2000 GB147),False,0.4726666672,1.0569147985,37172.7896861311,51421084.280067675,Earth
98943 Torifune (2001 CC21),False,0.4814541966,1.0765643117,7199.8253124929,12513179.36001706,Venus
99248 (2001 KY66),True,1.3078410858,2.9244215717,42793.1445157592,6358273.626135154,Earth
